profile_name,count
"	ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=1.741e-04		ACRYLONITRILE>=1.171e-02	",31
	HYDROQUINONE>=7.350e-06		ETHYLENE OXIDE>=2.895e-04	,29
"	PENTACHLOROPHENOL>=2.360e-10		ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=1.102e-04	",26
	HYDROQUINONE>=7.350e-06		GLYCOL ETHERS>=1.106e-01		ACETALDEHYDE>=2.808e+00	,22
	HYDROQUINONE>=7.350e-06		GLYCOL ETHERS>=1.086e-01		CARBON TETRACHLORIDE>=5.471e-01	,18
	HYDROQUINONE>=7.350e-06		ETHYLENE OXIDE>=2.900e-04		STYRENE>=1.210e-01	,16
	HYDROQUINONE>=7.350e-06		ETHYLENE OXIDE>=2.871e-04		ACRYLONITRILE>=8.721e-03	,16
	METHYL IODIDE (IODOMETHANE)>=1.857e-08		ACRYLONITRILE>=1.054e-02	,15
	METHYLHYDRAZINE>=3.685e-06		PENTACHLOROPHENOL>=5.785e-10	,15
"	ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=1.741e-04		METHYL METHACRYLATE>=3.044e-03	",15
	HYDROQUINONE>=7.350e-06		CRESOL_CRESYLIC ACID (MIXED ISOMERS)>=1.725e-02	,14
"	HYDROQUINONE>=7.350e-06		GLYCOL ETHERS>=1.086e-01		1,3-BUTADIENE>=2.682e-01	",14
	METHYL METHACRYLATE>=3.044e-03		CHLORINE>=9.789e-04	,14
	HYDROGEN FLUORIDE (HYDROFLUORIC ACID)>=1.515e-02		ACETALDEHYDE>=2.462e+00	,13
"	HYDROQUINONE>=7.350e-06		ETHYLENE OXIDE>=2.916e-04		2,2,4-TRIMETHYLPENTANE>=2.205e+00	",12
	HYDROQUINONE>=7.350e-06		CARBON TETRACHLORIDE>=5.471e-01	,12
	HYDROQUINONE>=7.350e-06		GLYCOL ETHERS>=1.092e-01		MANGANESE COMPOUNDS>=2.631e-03	,11
