profile_name,count
"	POLYCHLORINATED BIPHENYLS (AROCLORS)>=8.265e-09		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>=6.441e-03	",48
	BERYLLIUM COMPOUNDS>=3.091e-04		2-NITROPROPANE>=9.381e-09	,20
	HEXAMETHYLENE DIISOCYANATE>=2.350e-06		ACETAMIDE>=5.481e-06	,20
	HEXACHLOROETHANE>=5.000e-23		2-NITROPROPANE>=9.292e-09	,19
	O-TOLUIDINE>=5.570e-08		POLYCHLORINATED BIPHENYLS (AROCLORS)>=5.019e-07	,18
	BERYLLIUM COMPOUNDS>=2.913e-04		METHYL METHACRYLATE>=1.436e-03	,17
	TITANIUM TETRACHLORIDE>=4.560e-05		ACRYLIC ACID>=4.616e-07	,17
	METHYL ISOBUTYL KETONE (HEXONE)>=5.069e-01		STYRENE>=1.075e-01	,16
	BERYLLIUM COMPOUNDS>=3.091e-04		ALLYL CHLORIDE>=8.203e-07	,13
	CHLOROPRENE>=7.576e-07		HEXACHLOROETHANE>=5.000e-23	,12
	QUINOLINE>=3.972e-07		PHENOL>=2.486e-02	,12
	CHLOROPRENE>=7.842e-07		POLYCHLORINATED BIPHENYLS (AROCLORS)>=5.019e-07	,12
	DIBUTYLPHTHALATE>=1.400e-04		COBALT COMPOUNDS>=1.523e-04		STYRENE>=1.075e-01	,11
