profile,outcome,p_val,relation,coef,coef_95CI_lower,coef_95CI_upper,freq,pos_count,neg_count,binary_outcome,interaction_p_vals,interactions_combs,identical_profiles_pollutants
FORMALDEHYDE<1.756e+00,DailyControllerMedication,0.0048394112531890444,neg_correlate,0.6816423580038168,0.20747066896198474,1.1558140470456488,83,23,126,True,[],[],[]
"HYDROQUINONE<7.350e-06		1,4-DIOXANE>=1.605e-06",DailyControllerMedication,0.000978827983367923,mixed_sign_profile,0.8447821804740945,0.3425157481119968,1.347048612836192,80,29,120,True,[0.5248919308507266],"Index(['HYDROQUINONE<_and_1,4-DIOXANE>='], dtype='object')",[]
LEAD COMPOUNDS<1.374e-03,DailyControllerMedication,0.004544529640638394,neg_correlate,0.781954487392932,0.24186102292558365,1.3220479518602803,70,22,127,True,[],[],[]
ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE)<5.820e-04,DailyControllerMedication,0.021767799025010845,neg_correlate,0.4168168934523707,0.06075528743883507,0.7728784994659064,70,53,96,True,[],[],[]
VINYL ACETATE<3.296e-04,DailyControllerMedication,0.3669441806749967,pos_correlate,-0.1553695902383939,-0.492894196218698,0.18215501574191026,60,38,111,True,[],[],[]
HYDROQUINONE>=7.350e-06		GLYCOL ETHERS<1.086e-01,DailyControllerMedication,0.004295816720654559,mixed_sign_profile,-0.5069720964797143,-0.8549387833189904,-0.1590054096404382,60,32,117,True,[nan],"Index(['HYDROQUINONE>=_and_GLYCOL ETHERS<'], dtype='object')",[]
ACETOPHENONE<1.470e-05,DailyControllerMedication,0.8383035757304076,neg_correlate,3.104288284151206,-26.711341374221004,32.91991794252341,58,14,135,True,[],[],[]
STYRENE>=1.202e-01,DailyControllerMedication,0.11248884669800117,pos_correlate,0.3152453965829146,-0.0740606612945387,0.7045514544603679,57,18,131,True,[],[],[]
METHYLHYDRAZINE<2.375e-06,DailyControllerMedication,0.058650969481828415,neg_correlate,0.3544095155122175,-0.012963909701444565,0.7217829407258796,57,34,115,True,[],[],[]
METHYL METHACRYLATE>=3.044e-03,DailyControllerMedication,0.5651365530739682,neg_correlate,-0.09992484131433849,-0.4403964638948584,0.24054678126618145,56,27,122,True,[],[],[]
PHOSPHORUS<1.107e-04,DailyControllerMedication,0.16628330852408157,neg_correlate,0.2470661665795145,-0.10275675360580291,0.5968890867648319,54,41,108,True,[],[],[]
POLYCHLORINATED BIPHENYLS (AROCLORS)<1.185e-08,DailyControllerMedication,0.06939791845834066,neg_correlate,0.3364105704422693,-0.026704956893766785,0.6995260977783053,52,33,116,True,[],[],[]
"HYDROQUINONE<7.350e-06		1,4-DIOXANE<1.605e-06		ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=2.329e-04",DailyControllerMedication,0.254070609612722,mixed_sign_profile,0.21279419935257204,-0.1528896497449524,0.5784780484500964,49,21,128,True,[0.22002292937283063],"Index(['1,4-DIOXANE<_and_ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>='], dtype='object')",[]
"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=2.329e-04",DailyControllerMedication,0.24945356327894386,pos_correlate,0.20537688271763238,-0.14414044652571006,0.5548942119609748,48,34,115,True,[],[],[]
"PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<7.615e-05",DailyControllerMedication,0.006539934138004922,neg_correlate,0.5501670053944882,0.15364377998128215,0.9466902308076941,46,35,114,True,[],[],[]
ETHYL ACRYLATE<4.195e-06,DailyControllerMedication,0.21173762801787466,neg_correlate,0.22296438331384522,-0.1269728216281199,0.5729015882558104,45,48,101,True,[],[],[]
ETHYLENE OXIDE<2.671e-04,DailyControllerMedication,0.20854087631784302,neg_correlate,0.2239245239526034,-0.1250642388480981,0.5729132867533049,45,43,106,True,[],[],[]
METHYL ISOBUTYL KETONE (HEXONE)<1.324e-01,DailyControllerMedication,0.01039744135996285,neg_correlate,0.862781369951977,0.20282551507087831,1.5227372248330755,43,17,132,True,[],[],[]
"HYDROQUINONE<7.350e-06		1,4-DIOXANE<1.605e-06		ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)<2.329e-04",DailyControllerMedication,0.07825251634031742,pos_correlate,-0.30712442851517574,-0.6489650424056215,0.03471618537526999,43,25,124,True,[0.21962228808840578],"Index(['1,4-DIOXANE<_and_ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)<'], dtype='object')",[]
BIPHENYL<3.405e-05,DailyControllerMedication,0.030144664659625106,neg_correlate,0.43636018778276975,0.04190560155791301,0.8308147740076265,41,27,122,True,[],[],[]
PAHPOM<5.301e-03,DailyControllerMedication,0.034604462183111424,neg_correlate,0.3997600465905431,0.02894542365691455,0.7705746695241716,41,36,113,True,[],[],[]
LEAD COMPOUNDS>=1.367e-03		VINYL ACETATE<3.249e-04,DailyControllerMedication,0.0013248332708209226,mixed_sign_profile,-0.6300258145730754,-1.0146420532939269,-0.24540957585222395,40,20,129,True,[0.1443053391433651],"Index(['LEAD COMPOUNDS>=_and_VINYL ACETATE<'], dtype='object')",[]
CHLOROACETIC ACID<1.815e-07		ETHYLENE OXIDE>=2.871e-04,DailyControllerMedication,0.0008681759413599398,mixed_sign_profile,-0.6210953603442095,-0.9866482908779257,-0.2555424298104933,40,29,120,True,[nan],"Index(['CHLOROACETIC ACID<_and_ETHYLENE OXIDE>='], dtype='object')",[]
"PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<7.715e-05		ETHYLENE OXIDE>=2.740e-04",DailyControllerMedication,0.2041785384903857,mixed_sign_profile,-0.2200844026185404,-0.5598064891429013,0.11963768390582052,38,8,141,True,[0.00046103786479430607],"Index(['PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<_and_ETHYLENE OXIDE>='], dtype='object')",[]
COBALT COMPOUNDS<1.033e-04,DailyControllerMedication,0.05775225340153721,neg_correlate,0.3505840576864534,-0.011526833656873292,0.71269494902978,38,45,104,True,[],[],[]
"1,4-DIOXANE>=1.605e-06		HYDROQUINONE<7.350e-06",DailyControllerMedication,0.000978827983367923,mixed_sign_profile,0.8447821804740945,0.3425157481119968,1.347048612836192,37,29,120,True,[0.5248919308657225],"Index(['1,4-DIOXANE>=_and_HYDROQUINONE<'], dtype='object')",[]
ETHYLENE OXIDE>=2.740e-04		CHLOROACETIC ACID<1.815e-07,DailyControllerMedication,0.0011204595697608356,mixed_sign_profile,-0.6067789210668472,-0.9717642389343284,-0.24179360319936588,37,32,117,True,[0.999999964705666],"Index(['ETHYLENE OXIDE>=_and_CHLOROACETIC ACID<'], dtype='object')",[]
BERYLLIUM COMPOUNDS<5.460e-05,DailyControllerMedication,0.008798259788376197,neg_correlate,0.7009679802398916,0.17654835494232923,1.225387605537454,36,19,130,True,[],[],[]
ACETALDEHYDE<1.943e+00,DailyControllerMedication,0.12270432043397116,neg_correlate,0.27709327470659656,-0.07475985829119902,0.6289464077043921,36,36,113,True,[],[],[]
ETHYLENE OXIDE>=1.421e-02,DailyControllerMedication,0.27797970272987216,neg_correlate,-0.18378216723006321,-0.5158097632049852,0.14824542874485871,36,17,132,True,[],[],[]
CHLOROFORM<6.691e-03,DailyControllerMedication,0.011353728506223822,neg_correlate,0.5307057826328843,0.11983660310738198,0.9415749621583865,36,27,122,True,[],[],[]
"HYDROQUINONE>=7.350e-06		ETHYLENE OXIDE<2.900e-04		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<7.715e-05",DailyControllerMedication,0.003692065290351625,mixed_sign_profile,0.7213399815782973,0.23438331090896386,1.2082966522476306,35,25,124,True,[0.7420464124209455],"Index(['ETHYLENE OXIDE<_and_PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<'], dtype='object')",[]
BENZYL CHLORIDE<1.940e-05,DailyControllerMedication,0.30300569395703514,neg_correlate,0.18586967525256448,-0.16781442257633672,0.5395537730814657,34,26,123,True,[],[],[]
"ETHYLENE OXIDE<2.740e-04		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<7.715e-05",DailyControllerMedication,0.0008967178221931092,neg_correlate,0.9976339419512387,0.40887059623008204,1.5863972876723953,34,28,121,True,[0.0004613204135314667],"Index(['ETHYLENE OXIDE<_and_PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<'], dtype='object')",[]
"1,3-BUTADIENE<1.602e-01",DailyControllerMedication,0.17348322767594637,neg_correlate,0.23894345068517847,-0.10513251499661902,0.583019416366976,34,53,96,True,[],[],[]
"HYDROQUINONE>=7.350e-06		ETHYLENE OXIDE<2.906e-04		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>=7.715e-05",DailyControllerMedication,0.0032874573013427773,mixed_sign_profile,-0.5682677265448542,-0.9471707757846932,-0.18936467730501522,33,19,130,True,[0.6949020140482847],"Index(['ETHYLENE OXIDE<_and_PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>='], dtype='object')",[]
METHYL IODIDE (IODOMETHANE)>=1.857e-08,DailyControllerMedication,0.05749919701212631,neg_correlate,-0.3351386877470937,-0.6809459479990596,0.010668572504872131,32,38,111,True,[],[],[]
"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=1.741e-04		ACRYLONITRILE<1.171e-02",DailyControllerMedication,0.19695648846116443,mixed_sign_profile,0.2291737093905058,-0.11894860186179085,0.5772960206428024,32,39,110,True,[0.37444331418321264],"Index(['ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=_and_ACRYLONITRILE<'], dtype='object')",[]
"METHYL METHACRYLATE<3.044e-03		ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=1.534e-04",DailyControllerMedication,0.08193786333938709,mixed_sign_profile,0.318379631080765,-0.040340841419152784,0.6771001035806827,32,32,117,True,[0.6174470765298985],"Index(['METHYL METHACRYLATE<_and_ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>='], dtype='object')",[]
"PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<7.715e-05		ETHYLENE OXIDE<2.740e-04",DailyControllerMedication,0.0008967178221931092,neg_correlate,0.9976339419512387,0.40887059623008204,1.5863972876723953,32,28,121,True,[0.0004613204135412985],"Index(['PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<_and_ETHYLENE OXIDE<'], dtype='object')",[]
HYDROCHLORIC ACID (HYDROGEN CHLORIDE [GAS ONLY])<1.243e-01,DailyControllerMedication,0.019937294507351024,neg_correlate,0.4733961833521734,0.07475851943655165,0.8720338472677952,32,29,120,True,[],[],[]
"ETHYLENE OXIDE<2.740e-04		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>=7.715e-05",DailyControllerMedication,0.014980207870288604,mixed_sign_profile,-0.4408894775806411,-0.7960798684652074,-0.08569908669607484,31,19,130,True,[0.0004615917457973522],"Index(['ETHYLENE OXIDE<_and_PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>='], dtype='object')",[]
BENZIDINE<1.195e-08,DailyControllerMedication,0.20947704353874708,pos_correlate,-0.21455006540894211,-0.5496168517103056,0.12051672089242138,31,36,113,True,[],[],[]
"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=1.741e-04		ACRYLONITRILE>=1.171e-02",DailyControllerMedication,0.43612853175247934,neg_correlate,-0.144483763830714,-0.5081228278331196,0.21915530017169152,31,11,138,True,[0.37406168012179297],"Index(['ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=_and_ACRYLONITRILE>='], dtype='object')",[]
"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)<1.741e-04		ETHYLENE OXIDE<2.871e-04		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<7.715e-05",DailyControllerMedication,0.0006061072204331432,neg_correlate,0.908305763704889,0.38911188435470034,1.4274996430550777,30,31,118,True,[0.002769399557391799],"Index(['ETHYLENE OXIDE<_and_PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<'], dtype='object')",[]
"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)<1.741e-04		ETHYLENE OXIDE<2.871e-04		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>=7.715e-05",DailyControllerMedication,0.006952519120533474,mixed_sign_profile,-0.5060732963323376,-0.8735594059894128,-0.13858718667526226,30,18,131,True,[0.0027705474185361896],"Index(['ETHYLENE OXIDE<_and_PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>='], dtype='object')",[]
SELENIUM COMPOUNDS<1.871e-04,DailyControllerMedication,0.01938223723237547,neg_correlate,0.7747274308423219,0.1252941019618442,1.4241607597227994,30,15,134,True,[],[],[]
METHYL CHLORIDE (CHLOROMETHANE)<1.061e+00,DailyControllerMedication,0.17942764752900842,neg_correlate,0.24413097464696318,-0.11227945876737375,0.6005414080613001,29,29,120,True,[],[],[]
HYDROQUINONE>=7.350e-06		ETHYLENE OXIDE>=2.895e-04,DailyControllerMedication,0.0036332363022914945,neg_correlate,-0.5229583277282874,-0.8753829283421994,-0.17053372711437537,29,31,118,True,[0.7880058325306926],"Index(['HYDROQUINONE>=_and_ETHYLENE OXIDE>='], dtype='object')",[]
ACRYLIC ACID<4.720e-07,DailyControllerMedication,0.1857005752293892,pos_correlate,-0.22974147365342468,-0.5699886812423702,0.11050573393552082,28,31,118,True,[],[],[]
HEXACHLOROBENZENE<3.230e-11,DailyControllerMedication,0.03052217090918042,neg_correlate,0.5184053741500384,0.048715244525904255,0.9880955037741725,28,15,134,True,[],[],[]
HYDROQUINONE<7.350e-06		CARBONYL SULFIDE>=3.265e-05,DailyControllerMedication,0.041963391556826636,mixed_sign_profile,0.3764075087049892,0.01368007845048208,0.7391349389594963,28,41,108,True,[0.14197891868665527],"Index(['HYDROQUINONE<_and_CARBONYL SULFIDE>='], dtype='object')",[]
HYDROQUINONE<7.350e-06		ANILINE<1.370e-05,DailyControllerMedication,0.004990454475032903,neg_correlate,0.5193494900985742,0.15680196509622069,0.8818970151009278,27,57,92,True,[nan],"Index(['HYDROQUINONE<_and_ANILINE<'], dtype='object')",[]
ETHYLENE OXIDE<2.480e-04		ACETALDEHYDE<2.808e+00,DailyControllerMedication,0.0025204831193197663,neg_correlate,0.7427031999888616,0.2608318164361959,1.2245745835415272,26,26,123,True,[0.001431758027898857],"Index(['ETHYLENE OXIDE<_and_ACETALDEHYDE<'], dtype='object')",[]
QUINOLINE>=1.674e-04,DailyControllerMedication,0.0867956100609663,pos_correlate,0.312111157560597,-0.0450913275808601,0.6693136427020541,26,45,104,True,[],[],[]
HYDROQUINONE<7.350e-06		CARBONYL SULFIDE<3.265e-05,DailyControllerMedication,0.488917893273915,neg_correlate,0.1251291745688281,-0.22926057615093565,0.47951892528859186,26,34,115,True,[0.14207320230293635],"Index(['HYDROQUINONE<_and_CARBONYL SULFIDE<'], dtype='object')",[]
"PENTACHLOROPHENOL>=2.360e-10		ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=1.102e-04",DailyControllerMedication,0.36841218684681276,pos_correlate,0.16354746312256802,-0.19283319382106195,0.519928120066198,26,34,115,True,[0.004190389111616522],"Index(['PENTACHLOROPHENOL>=_and_ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>='], dtype='object')",[]
METHYL ISOBUTYL KETONE (HEXONE)>=1.324e-01		VINYL ACETATE<2.824e-04,DailyControllerMedication,0.0017502476541259322,mixed_sign_profile,-0.7441047988865055,-1.2101078617150653,-0.2781017360579456,25,14,135,True,[0.9381361533652333],"Index(['METHYL ISOBUTYL KETONE (HEXONE)>=_and_VINYL ACETATE<'], dtype='object')",[]
"CHLOROACETIC ACID<1.815e-07		ETHYLENE OXIDE<2.871e-04		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<7.715e-05",DailyControllerMedication,0.0006061072204331432,neg_correlate,0.908305763704889,0.38911188435470034,1.4274996430550777,25,31,118,True,[0.015159209818116118],"Index(['ETHYLENE OXIDE<_and_PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<'], dtype='object')",[]
