profile,outcome,p_val,relation,coef,coef_95CI_lower,coef_95CI_upper,freq,pos_count,neg_count,binary_outcome,interaction_p_vals,interactions_combs,identical_profiles_pollutants
CHLOROPRENE<7.576e-07,EmergencyRoomVisit,0.036785820758853845,neg_correlate,0.5493063096285129,0.03371631652737306,1.0648963027296527,78,29,122,True,[],[],[]
TITANIUM TETRACHLORIDE>=4.926e-05,EmergencyRoomVisit,0.010884016537503009,pos_correlate,0.7116936636273417,0.16390323307482635,1.2594840941798569,74,31,120,True,[],[],[]
DIMETHYL SULFATE<7.007e-07,EmergencyRoomVisit,0.8183697463349653,neg_correlate,3.0409949088421144,-22.913460755316162,28.995450573000394,72,17,134,True,[],[],[]
POLYCHLORINATED BIPHENYLS (AROCLORS)<8.265e-09,EmergencyRoomVisit,0.03480662481965772,neg_correlate,0.7684469757401328,0.05484529415239947,1.4820486573278662,71,21,130,True,[],[],[]
PROPYLENE OXIDE<6.891e-04,EmergencyRoomVisit,0.1541343373075209,neg_correlate,0.29606878784504403,-0.11112556442372395,0.7032631401138121,71,56,95,True,[],[],[]
STYRENE>=1.075e-01,EmergencyRoomVisit,0.0945524247506118,pos_correlate,0.4236328737221504,-0.07300345697490612,0.9202692044192069,64,26,125,True,[],[],[]
BERYLLIUM COMPOUNDS>=3.165e-04,EmergencyRoomVisit,0.06310319443565941,neg_correlate,-0.36568285567090275,-0.7513375386218855,0.0199718272800799,62,13,138,True,[],[],[]
"1,3-DICHLOROPROPENE<1.455e-03",EmergencyRoomVisit,0.19845119925729304,pos_correlate,-0.24793364095916265,-0.6258106375805932,0.12994335566226783,54,27,124,True,[],[],[]
ETHYLENE OXIDE<2.582e-04,EmergencyRoomVisit,0.3007390382177145,neg_correlate,0.2111947759428023,-0.1887996334326195,0.6111891853182241,54,42,109,True,[],[],[]
HEXAMETHYLENE DIISOCYANATE>=2.350e-06,EmergencyRoomVisit,0.00977193836542352,neg_correlate,-0.5120310758694114,-0.9004372061168606,-0.1236249456219623,54,11,140,True,[],[],[]
METHYLHYDRAZINE<2.431e-06,EmergencyRoomVisit,0.019889619658744535,neg_correlate,0.5860812201206441,0.09274398354695296,1.0794184566943352,53,36,115,True,[],[],[]
O-TOLUIDINE<5.570e-08,EmergencyRoomVisit,0.04735569330384428,neg_correlate,0.47053810387242184,0.005490766600517005,0.9355854411443267,51,35,116,True,[],[],[]
STYRENE<2.085e-02,EmergencyRoomVisit,0.45931271667597107,pos_correlate,-0.14243328564027877,-0.5196927721341706,0.23482620085361308,49,27,124,True,[],[],[]
PHENOL>=2.486e-02,EmergencyRoomVisit,0.07088875676252115,neg_correlate,-0.33166736672144986,-0.6915720843291121,0.028237350886212376,47,26,125,True,[],[],[]
"POLYCHLORINATED BIPHENYLS (AROCLORS)>=8.265e-09		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>=6.441e-03",EmergencyRoomVisit,0.004558295621646787,neg_correlate,-0.7331538347873966,-1.2397132225382914,-0.2265944470365019,45,8,143,True,[0.10301746260055726],"Index(['POLYCHLORINATED BIPHENYLS (AROCLORS)>=_and_PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>='], dtype='object')",[]
DIBUTYLPHTHALATE<1.400e-04,EmergencyRoomVisit,0.9073623513509008,pos_correlate,-0.022549558152354657,-0.40235345289838936,0.35725433659368006,45,45,106,True,[],[],[]
"1,3-BUTADIENE<1.628e-01",EmergencyRoomVisit,0.04215277496978776,neg_correlate,0.4279932823474366,0.015174470069041823,0.8408120946258314,44,57,94,True,[],[],[]
MALEIC ANHYDRIDE<1.601e-05,EmergencyRoomVisit,0.06664037699259401,neg_correlate,0.3946620060473514,-0.027085336279148442,0.8164093483738513,42,46,105,True,[],[],[]
