profile,outcome,p_val,relation,coef,coef_95CI_lower,coef_95CI_upper,freq,pos_count,neg_count,binary_outcome,interaction_p_vals,interactions_combs,identical_profiles_pollutants
FORMALDEHYDE<1.652e+00,DailyControllerMedication,0.004140504787156531,neg_correlate,0.794130143336335,0.2512879510313679,1.3369723356413021,5,21,128,True,[],[],[]
ETHYL ACRYLATE<4.195e-06,DailyControllerMedication,0.21173762801814033,neg_correlate,0.22296438331370175,-0.12697282162824167,0.5729015882556452,5,48,101,True,[],[],[]
METHYL METHACRYLATE>=3.044e-03,DailyControllerMedication,0.5651365530750798,neg_correlate,-0.09992484131404744,-0.44039646389454884,0.24054678126645396,5,27,122,True,[],[],[]
CHLOROACETIC ACID<3.130e-07		ETHYLENE OXIDE>=2.911e-04,DailyControllerMedication,0.000731393593422308,mixed_sign_profile,-0.6140767420991491,-0.9704221999014169,-0.2577312842968813,5,41,108,True,[nan],"Index(['CHLOROACETIC ACID<_and_ETHYLENE OXIDE>='], dtype='object')",[]
ACETOPHENONE<1.470e-05,DailyControllerMedication,0.8383035757388678,neg_correlate,3.104288284189143,-26.71134137612928,32.91991794450757,4,14,135,True,[],[],[]
POLYCHLORINATED BIPHENYLS (AROCLORS)<1.185e-08,DailyControllerMedication,0.06939791845886581,neg_correlate,0.33641057044160955,-0.026704956894398835,0.6995260977776179,4,33,116,True,[],[],[]
PHOSPHORUS<1.107e-04,DailyControllerMedication,0.16628330852470374,neg_correlate,0.24706616657914954,-0.10275675360616471,0.5968890867644638,4,41,108,True,[],[],[]
"HYDROQUINONE<7.255e-06		1,4-DIOXANE>=1.605e-06",DailyControllerMedication,0.001299565971376997,mixed_sign_profile,0.8167826206559825,0.3190130642273985,1.3145521770845665,4,28,121,True,[0.556881220808999],"Index(['HYDROQUINONE<_and_1,4-DIOXANE>='], dtype='object')",[]
ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE)<5.820e-04,DailyControllerMedication,0.021767799025018353,neg_correlate,0.4168168934523446,0.06075528743881098,0.7728784994658782,4,53,96,True,[],[],[]
LEAD COMPOUNDS<1.462e-03,DailyControllerMedication,0.012328840711852055,neg_correlate,0.5435486290912319,0.11785528794233857,0.9692419702401253,3,24,125,True,[],[],[]
BENZYL CHLORIDE<2.130e-05,DailyControllerMedication,0.41550613593800345,neg_correlate,0.14515239513882863,-0.20424415884936512,0.4945489491270224,3,30,119,True,[],[],[]
ETHYL ACRYLATE>=4.195e-06		HEXAMETHYLENE DIISOCYANATE<3.780e-07,DailyControllerMedication,0.06681034306473867,mixed_sign_profile,-0.314761138359311,-0.6513340155510515,0.021811738832429484,3,26,123,True,[0.8258879736595839],"Index(['ETHYL ACRYLATE>=_and_HEXAMETHYLENE DIISOCYANATE<'], dtype='object')",[]
ACETALDEHYDE<1.943e+00,DailyControllerMedication,0.12270432042301616,neg_correlate,0.277093274714887,-0.07475985828313508,0.628946407712909,3,36,113,True,[],[],[]
"1,3-BUTADIENE<1.602e-01",DailyControllerMedication,0.17348322767439173,neg_correlate,0.23894345068613446,-0.10513251499579582,0.5830194163680648,3,53,96,True,[],[],[]
"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=1.741e-04		ACRYLONITRILE<1.184e-02",DailyControllerMedication,0.21738422857464856,mixed_sign_profile,0.21773846397141877,-0.12823223996373528,0.5637091679065729,3,44,105,True,[0.7934514453817333],"Index(['ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=_and_ACRYLONITRILE<'], dtype='object')",[]
STYRENE>=1.206e-01,DailyControllerMedication,0.11248884669749142,pos_correlate,0.31524539658324285,-0.07406066129406363,0.7045514544605493,3,18,131,True,[],[],[]
HYDROQUINONE<7.160e-06		METHYL CHLORIDE (CHLOROMETHANE)<1.203e+00,DailyControllerMedication,0.0032767248863217,neg_correlate,0.580020793314576,0.1934144261908194,0.9666271604383326,3,45,104,True,[0.046911285508284536],"Index(['HYDROQUINONE<_and_METHYL CHLORIDE (CHLOROMETHANE)<'], dtype='object')",[]
"CHLOROACETIC ACID<2.472e-07		ETHYLENE OXIDE<2.906e-04		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<7.715e-05",DailyControllerMedication,0.00044325144270652804,neg_correlate,0.9355629450334106,0.4135805591315831,1.4575453309352382,3,32,117,True,[0.06026713422826306],"Index(['ETHYLENE OXIDE<_and_PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<'], dtype='object')",[]
"CHLOROACETIC ACID<2.472e-07		ETHYLENE OXIDE<2.906e-04		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>=7.715e-05",DailyControllerMedication,0.007375195239532755,mixed_sign_profile,-0.49828442842378495,-0.8627748986636976,-0.1337939581838723,3,20,129,True,[0.6787745055418755],"Index(['ETHYLENE OXIDE<_and_PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>='], dtype='object')",[]
HYDROQUINONE<7.255e-06		ANILINE<1.370e-05,DailyControllerMedication,0.0073213469456548975,neg_correlate,0.4960487456061786,0.13352548032863998,0.8585720108837173,3,56,93,True,[0.9999999777870333],"Index(['HYDROQUINONE<_and_ANILINE<'], dtype='object')",[]
"HYDROQUINONE<7.160e-06		1,4-DIOXANE<1.605e-06		ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)<2.329e-04",DailyControllerMedication,0.07825251634031904,pos_correlate,-0.307124428515174,-0.6489650424056197,0.03471618537527166,3,25,124,True,[0.22648935741058152],"Index(['1,4-DIOXANE<_and_ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)<'], dtype='object')",[]
"HYDROQUINONE<7.160e-06		1,4-DIOXANE<1.605e-06		ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>=2.329e-04",DailyControllerMedication,0.25407060961579275,mixed_sign_profile,0.21279419935118282,-0.15288964974631908,0.5784780484486847,3,21,128,True,[0.22687815811453682],"Index(['1,4-DIOXANE<_and_ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)>='], dtype='object')",[]
CHLOROACETIC ACID<3.130e-07		ETHYLENE OXIDE<2.916e-04		PROPYLENE OXIDE<7.292e-04,DailyControllerMedication,0.004124979581011533,neg_correlate,0.5863434355378356,0.185703732532784,0.9869831385428873,3,36,113,True,[0.040162199482964504],"Index(['ETHYLENE OXIDE<_and_PROPYLENE OXIDE<'], dtype='object')",[]
SELENIUM COMPOUNDS<1.847e-04,DailyControllerMedication,0.019382237232345743,neg_correlate,0.7747274308414384,0.12529410196186042,1.4241607597210164,3,15,134,True,[],[],[]
PENTACHLOROPHENOL<2.277e-10		LEAD COMPOUNDS<3.713e-03,DailyControllerMedication,0.013387274980238893,neg_correlate,0.5343942457219447,0.11091361319277265,0.9578748782511168,2,24,125,True,[0.03574914368709987],"Index(['PENTACHLOROPHENOL<_and_LEAD COMPOUNDS<'], dtype='object')",[]
LEAD COMPOUNDS>=1.336e-03		VINYL ACETATE<3.279e-04,DailyControllerMedication,0.0017845680477500212,mixed_sign_profile,-0.5900099746117484,-0.9601849403694174,-0.21983500885407953,2,22,127,True,[0.16525090926883101],"Index(['LEAD COMPOUNDS>=_and_VINYL ACETATE<'], dtype='object')",[]
BERYLLIUM COMPOUNDS<8.775e-05,DailyControllerMedication,0.0812160235436029,neg_correlate,0.3217035156425084,-0.03990504969888031,0.6833120809838971,2,38,111,True,[],[],[]
