profile,outcome,p_val,relation,coef,coef_95CI_lower,coef_95CI_upper,freq,pos_count,neg_count,binary_outcome,interaction_p_vals,interactions_combs,identical_profiles_pollutants
DIMETHYL SULFATE<6.996e-07,EmergencyRoomVisit,0.8184480196689806,neg_correlate,3.041344739315352,-22.92748659799388,29.010176076624585,5,17,134,True,[],[],[]
CHLOROPRENE<7.318e-07,EmergencyRoomVisit,0.05199236598213446,neg_correlate,0.5586719159502174,-0.004820545344000227,1.122164377244435,4,23,128,True,[],[],[]
MANGANESE COMPOUNDS>=5.520e-03,EmergencyRoomVisit,0.11436070516476562,neg_correlate,-0.3063834325707618,-0.6867136161361119,0.07394675099458836,4,15,136,True,[],[],[]
"HYDROQUINONE<1.654e-05		1,4-DIOXANE>=1.662e-06",EmergencyRoomVisit,0.002822123529475292,mixed_sign_profile,0.809700210669934,0.27831041048150273,1.3410900108583652,4,44,107,True,[0.35987456740887236],"Index(['HYDROQUINONE<_and_1,4-DIOXANE>='], dtype='object')",[]
"1,3-DICHLOROPROPENE<1.455e-03",EmergencyRoomVisit,0.19845119910113662,pos_correlate,-0.2479336410384581,-0.6258106376492687,0.12994335557235254,4,27,124,True,[],[],[]
TITANIUM TETRACHLORIDE>=4.926e-05,EmergencyRoomVisit,0.010884016551915765,pos_correlate,0.7116936633855693,0.16390323291971753,1.259484093851421,4,31,120,True,[],[],[]
STYRENE>=1.075e-01,EmergencyRoomVisit,0.09455242464781866,pos_correlate,0.42363287394844434,-0.07300345685908771,0.9202692047559764,4,26,125,True,[],[],[]
POLYCHLORINATED BIPHENYLS (AROCLORS)<8.265e-09,EmergencyRoomVisit,0.034806624812868496,neg_correlate,0.7684469758145989,0.054845294184397764,1.4820486574448,3,21,130,True,[],[],[]
"POLYCHLORINATED BIPHENYLS (AROCLORS)>=8.265e-09		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>=6.441e-03",EmergencyRoomVisit,0.0045582956206513345,neg_correlate,-0.7331538347409134,-1.2397132224472394,-0.22659444703458764,3,8,143,True,[0.7929707322069897],"Index(['POLYCHLORINATED BIPHENYLS (AROCLORS)>=_and_PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>='], dtype='object')",[]
BERYLLIUM COMPOUNDS>=3.165e-04,EmergencyRoomVisit,0.06310319443657311,neg_correlate,-0.36568285566939135,-0.7513375386201164,0.01997182728133373,3,13,138,True,[],[],[]
PHOSPHORUS>=3.508e-04,EmergencyRoomVisit,0.8165015702329707,pos_correlate,0.047227408598096265,-0.3516747590239868,0.44612957622017935,3,24,127,True,[],[],[]
"1,3-BUTADIENE<1.992e-01",EmergencyRoomVisit,0.8200876361822987,neg_correlate,0.044367035816399045,-0.3379788618218851,0.4267129334546832,3,79,72,True,[],[],[]
PROPYLENE OXIDE<7.004e-04,EmergencyRoomVisit,0.22056798718485704,neg_correlate,0.25220925126710064,-0.15131181174834768,0.655730314282549,3,59,92,True,[],[],[]
DIMETHYL SULFATE>=7.007e-07		NICKEL COMPOUNDS<2.229e-03,EmergencyRoomVisit,0.002281014101569271,mixed_sign_profile,-0.6363388295473298,-1.0451268989651012,-0.22755076012955833,3,10,141,True,[0.9888172890076549],"Index(['DIMETHYL SULFATE>=_and_NICKEL COMPOUNDS<'], dtype='object')",[]
ACROLEIN<7.000e-02,EmergencyRoomVisit,0.5318974294493778,neg_correlate,0.12494739436843035,-0.266810113730495,0.5167049024673557,3,42,109,True,[],[],[]
DIMETHYL PHTHALATE>=9.782e-05,EmergencyRoomVisit,0.12407762576543765,neg_correlate,-0.28196783602054776,-0.6413237771849156,0.07738810514382011,3,25,126,True,[],[],[]
HYDROQUINONE<1.654e-05		METHYL IODIDE (IODOMETHANE)>=9.885e-08,EmergencyRoomVisit,0.19336630115142028,mixed_sign_profile,-0.24426820267297086,-0.6123487774622689,0.1238123721163272,2,5,146,True,[],"Index(['HYDROQUINONE<_and_METHYL IODIDE (IODOMETHANE)>='], dtype='object')","[['HYDROQUINONE<_and_METHYL IODIDE (IODOMETHANE)>=', 'METHYL IODIDE (IODOMETHANE)>='], ['HYDROQUINONE<_and_METHYL IODIDE (IODOMETHANE)>=', 'METHYL IODIDE (IODOMETHANE)>=']]"
"HYDROQUINONE<1.654e-05		METHYL IODIDE (IODOMETHANE)<9.885e-08		1,4-DIOXANE<8.224e-12",EmergencyRoomVisit,0.4929661441892075,pos_correlate,-0.12308618156422636,-0.4749603185298373,0.22878795540138458,2,7,144,True,[],"Index(['METHYL IODIDE (IODOMETHANE)<_and_1,4-DIOXANE<'], dtype='object')","[['METHYL IODIDE (IODOMETHANE)<_and_1,4-DIOXANE<', '1,4-DIOXANE<']]"
"POLYCHLORINATED BIPHENYLS (AROCLORS)>=8.265e-09		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<6.441e-03		2-CHLOROACETOPHENONE>=2.420e-07",EmergencyRoomVisit,0.0226849855237314,mixed_sign_profile,-0.44092671737680933,-0.8201784841000946,-0.06167495065352402,2,8,143,True,['repeated'],"Index(['PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<_and_2-CHLOROACETOPHENONE>='], dtype='object')",[]
"CHLOROPRENE>=7.318e-07		1,3-DICHLOROPROPENE<1.455e-03",EmergencyRoomVisit,0.0012589034399108502,mixed_sign_profile,-0.698782772546527,-1.1234369100301957,-0.2741286350628582,2,11,140,True,[0.0407492504802961],"Index(['CHLOROPRENE>=_and_1,3-DICHLOROPROPENE<'], dtype='object')",[]
"1,4-DICHLOROBENZENE<1.355e-03",EmergencyRoomVisit,0.1943501985054158,neg_correlate,0.28902730281734085,-0.1474618697800329,0.7255164754147145,2,23,128,True,[],[],[]
HYDROQUINONE>=1.654e-05		CRESOL_CRESYLIC ACID (MIXED ISOMERS)<1.485e-02,EmergencyRoomVisit,0.5540456482612164,mixed_sign_profile,0.11972194388299806,-0.2768425911058104,0.5162864788718065,2,22,129,True,[0.09251764152273037],"Index(['HYDROQUINONE>=_and_CRESOL_CRESYLIC ACID (MIXED ISOMERS)<'], dtype='object')",[]
ANTIMONY COMPOUNDS>=2.322e-04,EmergencyRoomVisit,0.5580819712529135,neg_correlate,-0.1110865676593942,-0.48282695886414273,0.26065382354535427,2,19,132,True,[],[],[]
ANTIMONY COMPOUNDS<2.322e-04		PHENOL<2.225e-02		CARBONYL SULFIDE>=8.152e-05,EmergencyRoomVisit,0.9305340404561615,mixed_sign_profile,-0.017561494756923837,-0.4124075718419251,0.3772845823280775,2,31,120,True,[],"Index(['PHENOL<_and_CARBONYL SULFIDE>='], dtype='object')","[['PHENOL<_and_CARBONYL SULFIDE>=', 'CARBONYL SULFIDE>=']]"
METHYL ISOBUTYL KETONE (HEXONE)>=2.961e-01		PROPIONALDEHYDE<1.125e-01,EmergencyRoomVisit,0.3972611896539836,mixed_sign_profile,-0.16114842035451765,-0.5342572365408194,0.2119603958317841,2,25,126,True,[0.7296422623158129],"Index(['METHYL ISOBUTYL KETONE (HEXONE)>=_and_PROPIONALDEHYDE<'], dtype='object')",[]
"HYDROQUINONE<1.654e-05		1,4-DIOXANE<1.607e-06		HEXACHLOROBENZENE<1.251e-09",EmergencyRoomVisit,0.7424905152868566,neg_correlate,0.06907427407805425,-0.3429792456317121,0.48112779378782067,2,32,119,True,[0.7574688453470223],"Index(['1,4-DIOXANE<_and_HEXACHLOROBENZENE<'], dtype='object')",[]
